;;;;;
Tanggal;Item;Kemasan (Ziplock/Jar/Botol/Dus);Qty;Harga;Total
09/03/2024;Cabe Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
09/03/2024;Cabe Bubuk;Ziplock 50gr;15; Rp20.000 ; Rp300.000 
09/03/2024;Kapulaga Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
09/03/2024;Bawang Putih Bubuk;Ziplock 50gr;20; Rp20.000 ; Rp400.000 
09/03/2024;Jahe Bubuk;Jar 250gr;10; Rp80.000 ; Rp800.000 
09/03/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
09/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;6; Rp25.000 ; Rp150.000 
10/03/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
10/03/2024;Merica Bubuk;Ziplock 50gr;8; Rp20.000 ; Rp160.000 
10/03/2024;Bawang Putih Bubuk;Jar 55gr;15; Rp40.000 ; Rp600.000 
10/03/2024;Merica Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
10/03/2024;Arena Gula Aren;Ziplock 200gr;10; Rp35.000 ; Rp350.000 
10/03/2024;Kunyit Bubuk;Ziplock 50gr;9; Rp20.000 ; Rp180.000 
10/03/2024;Cengkeh Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
10/03/2024;Cabe Bubuk;Jar 55gr;12; Rp40.000 ; Rp480.000 
10/03/2024;Jahe Bubuk;Jar 50gr;8; Rp50.000 ; Rp400.000 
10/03/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
10/03/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
11/03/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
11/03/2024;Daun Kelor Bubuk;Ziplock 125gr;8; Rp45.000 ; Rp360.000 
11/03/2024;Cabe Bubuk;Ziplock 50gr;11; Rp20.000 ; Rp220.000 
11/03/2024;Kunyit Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
11/03/2024;Jahe Bubuk;Jar 50gr;3; Rp50.000 ; Rp150.000 
12/03/2024;Arena Gula Aren Sirup;Botol 500ml;2; Rp40.000 ; Rp80.000 
12/03/2024;Daun Kelor Bubuk;Ziplock 125gr;6; Rp45.000 ; Rp270.000 
12/03/2024;Cabe Bubuk;Ziplock 50gr;7; Rp20.000 ; Rp140.000 
12/03/2024;Kunyit Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
12/03/2024;Cengkeh Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
12/03/2024;Jahe Bubuk;Jar 50gr;3; Rp50.000 ; Rp150.000 
12/03/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
12/03/2024;Bawang Putih Bubuk;Jar 55gr;10; Rp40.000 ; Rp400.000 
13/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
13/03/2024;Kunyit Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
13/03/2024;Ketumbar Bubuk;Jar 55gr;8; Rp40.000 ; Rp320.000 
13/03/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
13/03/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
13/03/2024;Bawang Putih Bubuk;Ziplock 50gr;7; Rp20.000 ; Rp140.000 
13/03/2024;Cabe Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
13/03/2024;Cabe Bubuk;Ziplock 50gr;15; Rp20.000 ; Rp300.000 
13/03/2024;Kapulaga Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
14/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;8; Rp25.000 ; Rp200.000 
